author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground;residential_complex
Самолет Плюс Китай-Город;real_estate_agent;https://www.cian.ru/rent/flat/285683355/;Москва;rent;flat;15;26;3;65.0;60000;0;; Фитаревская;21;Коммунарка;
Любовь Дмитренко;realtor;https://www.cian.ru/rent/flat/301399587/;Москва;rent;flat;1;9;3;51.5;55000;0;Отрадное; Бестужевых;13Б;Отрадное;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302292103/;Москва;rent;flat;2;9;3;55.0;75000;0;Печатники; Кухмистерова;20;Люблино;
Иосиф Топский;realtor;https://www.cian.ru/rent/flat/302156702/;Москва;rent;flat;4;5;3;43.0;55000;0;Сокол;Волоколамское шоссе;16БК3;Стрешнево;
Евгения Филимонова;realtor;https://www.cian.ru/rent/flat/301085148/;Москва;rent;flat;16;17;3;74.8;75000;0;Чертаново Южное; Академика Янгеля;3;Улица Академика Янгеля;
Millennium estate;real_estate_agent;https://www.cian.ru/rent/flat/302484674/;Москва;rent;flat;4;9;3;60.0;41500;0;Бирюлево Восточное;Загорьевская ;16К2;Лебедянская;
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/rent/flat/301886325/;Москва;rent;flat;5;5;3;65.0;60000;0;Перово;1-я Владимирская ;10;Перово;
Анна Максимова;realtor;https://www.cian.ru/rent/flat/301930609/;Москва;rent;flat;9;9;3;61.7;60000;0;Гольяново;Алтайская ;11;Щёлковская;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/301767376/;Москва;rent;flat;7;9;3;60.0;70000;0;Орехово-Борисово Северное;Шипиловская ;23К2;Домодедовская;
Мария Выселкова;realtor;https://www.cian.ru/rent/flat/302010847/;Москва;rent;flat;5;9;3;60.0;55000;0;Гольяново;Хабаровская ;22К1;Щёлковская;
Ольга Сазыкина;realtor;https://www.cian.ru/rent/flat/281483958/;Москва;rent;flat;4;4;3;76.0;70000;0;Капотня;2-й кв-л;11;Алма-Атинская;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/301123352/;Москва;rent;flat;6;6;3;45.0;55000;0;Северное Медведково;Полярная ;31С1;Медведково;
Квартирный вопрос;real_estate_agent;https://www.cian.ru/rent/flat/301920202/;Москва;rent;flat;10;17;3;75.0;55000;0;Бирюлево Восточное;Липецкая ;7К1;Царицыно;
